2021/03/29,14:04:55,39.110.207.182,LoginID01,NG
2021/03/29,14:05:14,39.110.207.182,LoginID01,NG
2021/03/29,14:07:35,39.110.207.182,LoginID01,NG
2021/03/29,14:26:53,39.110.207.182,LoginID01,NG
2021/03/29,14:26:56,39.110.207.182,LoginID01,NG
2021/03/29,14:32:57,39.110.207.182,LoginID01,NG
2021/03/29,14:32:59,39.110.207.182,LoginID01,NG
2021/03/29,14:33:11,39.110.207.182,LoginID01,NG
2021/03/29,14:34:32,39.110.207.182,LoginID01,NG
2021/03/29,14:34:34,39.110.207.182,LoginID01,NG
2021/03/29,14:34:35,39.110.207.182,LoginID01,NG
2021/03/29,14:38:36,39.110.207.182,LoginID01,NG
2021/03/29,14:38:40,39.110.207.182,LoginID01,NG
2021/03/29,14:38:41,39.110.207.182,LoginID01,NG
2021/03/29,14:38:42,39.110.207.182,LoginID01,NG
2021/03/29,14:38:59,39.110.207.182,LoginID01,NG
2021/03/29,14:39:00,39.110.207.182,LoginID01,NG
2021/03/29,14:39:21,39.110.207.182,10000000001,NG
2021/03/29,14:39:35,39.110.207.182,100000000001,NG
2021/03/29,14:39:55,39.110.207.182,1000000001,OK
2021/03/29,14:49:20,126.133.208.182,1000000001,OK
2021/03/29,15:26:46,39.110.207.182,1000054321,OK
2021/03/30,08:16:29,39.110.207.182,1000054321,OK
2021/03/30,08:17:15,39.110.207.182,1000000001,OK
2021/03/30,08:18:30,39.110.207.182,1000054321,OK
2021/03/30,11:28:41,39.110.207.182,1000000001,OK
2021/03/30,11:29:40,39.110.207.182,1000054321,OK
2021/03/31,07:06:49,39.110.207.182,1000000001,OK
2021/03/31,13:18:46,39.110.207.182,1000000001,OK
2021/03/31,14:20:46,39.110.207.182,1000000001,OK
2021/03/31,14:27:06,39.110.207.182,1000000001,OK
2021/03/31,15:06:36,39.110.207.182,sori5301,OK
