2023/06/01,12:32:55,111.98.253.89,99000003,【テスト】サポセン用商工会（本番）,supp001,1,OK
2023/06/01,12:32:55,49.212.207.233,,,,,NG
2023/06/01,12:33:45,52.167.144.92,,,,,NG
2023/06/01,12:40:30,40.79.186.178,,,,,NG
2023/06/01,13:00:23,131.129.127.240,14232220,東彼商工会,1423222014,1,OK
2023/06/01,13:12:13,153.162.35.128,11036110,高崎市新町商工会,1103611005,1,OK
2023/06/01,13:19:18,210.136.142.224,14034210,篠栗町商工会,1403421002,1,OK
2023/06/01,13:20:17,210.136.142.224,14034210,篠栗町商工会,1403421002,1,OK
2023/06/01,13:22:02,58.98.144.14,11123110,桶川市商工会,231105,1,OK
2023/06/01,13:22:26,111.98.253.89,99000003,【テスト】サポセン用商工会（本番）,supp001,1,OK
2023/06/01,13:30:25,131.129.127.240,14232220,東彼商工会,1423222014,1,OK
2023/06/01,13:30:26,49.212.207.233,,,,,NG
2023/06/01,13:36:54,40.79.186.178,,,,,NG
2023/06/01,13:38:32,163.44.29.70,14034910,粕屋町商工会,1403491006,1,OK
2023/06/01,13:40:11,116.12.3.10,95000000,商工会クラウド研修用連合会,470017,0,OK
2023/06/01,13:40:56,124.155.120.144,,,1082102008,,NG
2023/06/01,13:41:21,124.155.120.144,,,1082102008,,NG
2023/06/01,13:41:56,124.155.120.144,,,1082102008,,NG
2023/06/01,14:00:37,153.168.154.53,11032310,高崎市箕郷商工会,1103231004,1,OK
2023/06/01,14:04:52,125.1.176.237,11240210,大網白里市商工会,1124021005,1,OK
2023/06/01,14:09:06,210.136.142.224,14034210,篠栗町商工会,1403421002,1,OK
2023/06/01,14:10:15,210.136.142.224,14034210,篠栗町商工会,1403421002,1,OK
2023/06/01,14:14:11,118.21.139.51,no-data,美郷町商工会,1054321007,1,OK
2023/06/01,14:14:26,118.21.139.51,,,,,NG
2023/06/01,14:14:44,118.21.139.51,no-data,美郷町商工会,1054321007,1,OK
2023/06/01,14:14:58,40.79.186.178,,,,,NG
2023/06/01,14:15:37,210.237.39.225,14620310,かのや市商工会,1462031005,1,OK
2023/06/01,14:16:27,210.237.39.225,14620310,かのや市商工会,1462031005,1,OK
2023/06/01,14:17:52,118.21.139.51,,,,,NG
2023/06/01,14:18:20,118.21.139.51,no-data,美郷町商工会,1054321008,1,OK
2023/06/01,14:21:58,125.1.176.237,11240210,大網白里市商工会,1124021005,1,OK
2023/06/01,14:26:36,131.129.127.240,,,,,NG
2023/06/01,14:27:19,114.151.212.77,,,,,NG
2023/06/01,14:29:23,221.255.179.194,no-data,全国商工会連合会(テストアカウント用),1000000001,0,OK
2023/06/01,14:29:32,49.212.207.233,,,,,NG
2023/06/01,14:33:32,131.129.127.240,,,,,NG
2023/06/01,14:33:37,131.129.127.240,no-data,東彼商工会,1423222014,1,OK
2023/06/01,14:48:06,118.21.51.121,10542210,大仙市商工会,1054221017,1,OK
2023/06/01,14:57:41,118.21.51.121,10542210,大仙市商工会,1054221017,1,OK
2023/06/01,15:01:31,210.237.39.225,no-data,鹿児島県商工会連合会,1460000003,0,OK
2023/06/01,15:25:38,61.120.98.133,10500000,秋田県商工会連合会,1050000003,0,OK
2023/06/01,15:25:38,49.212.207.233,,,,,NG
2023/06/01,15:25:38,49.212.207.233,,,,,NG
2023/06/01,15:36:55,121.119.165.102,10520610,男鹿市商工会,1052061003,1,OK
2023/06/01,15:36:56,49.212.207.233,,,,,NG
2023/06/01,15:39:52,61.86.137.148,12900000,奈良県商工会連合会,290236,0,OK
2023/06/01,15:40:14,49.212.207.233,,,,,NG
2023/06/01,15:44:34,111.98.253.89,99000003,【テスト】サポセン用商工会（本番）,supp000rie,1,OK
2023/06/01,15:45:19,210.237.39.225,14649210,肝付町商工会,1464921001,1,OK
2023/06/01,15:46:23,210.237.39.225,14649210,肝付町商工会,1464921001,1,OK
2023/06/01,15:47:33,120.51.150.38,12058110,信州新町商工会,1205811001,1,OK
2023/06/01,15:47:50,210.237.39.225,no-data,肝付町商工会,1464921001,1,OK
2023/06/01,15:53:15,114.156.87.184,no-data,愛媛県商工会連合会,1380000007,0,OK
2023/06/01,15:53:23,40.79.186.180,,,,,NG
2023/06/01,15:58:14,115.65.192.133,11121830,ふかや市商工会,218301,1,OK
2023/06/01,16:02:46,210.237.39.225,14649210,肝付町商工会,1464921001,1,OK
2023/06/01,16:04:03,58.94.96.91,10534310,白神八峰商工会,1053431006,1,OK
2023/06/01,16:19:10,58.94.96.91,10534310,白神八峰商工会,1053431006,1,OK
2023/06/01,16:22:22,112.69.222.238,12936310,田原本町商工会,1111,1,OK
2023/06/01,16:33:24,125.30.35.1,13410710,広島安芸商工会,10427,1,OK
2023/06/01,16:33:25,49.212.207.233,,,,,NG
2023/06/01,16:51:05,221.255.179.194,no-data,全国商工会連合会(テストアカウント用),,0,OK
2023/06/01,16:51:08,221.255.179.194,no-data,全国商工会連合会(テストアカウント用),1000000001,0,OK
2023/06/01,16:58:57,118.2.46.11,13244110,川本町商工会,1324411004,1,OK
2023/06/01,17:00:06,153.188.112.106,14220110,長崎市北部商工会,1422011002,1,OK
2023/06/01,17:31:58,60.45.207.245,13900000,高知県商工会連合会,1390000003,0,OK
2023/06/01,17:31:58,49.212.207.233,,,,,NG
2023/06/01,17:40:21,219.165.115.56,13600000,徳島県商工会連合会,1360000008,0,OK
