2021/04/01,14:03:57,39.110.207.182,sori5301,OK
2021/04/06,10:19:48,39.110.207.182,sori5301,OK
2021/04/06,10:22:46,39.110.207.182,sori5301,OK
2021/04/13,11:44:19,39.110.207.182,1000000001,OK
2021/04/19,13:21:37,39.110.207.182,sori5301,OK
2021/04/19,13:34:18,39.110.207.182,1000000001,OK
2021/04/19,14:02:56,39.110.207.182,sori5301,OK
2021/04/19,15:34:18,39.110.207.182,1000000001,OK
2021/04/20,08:22:12,39.110.207.182,sori5301,OK
2021/04/23,16:53:57,39.110.207.182,sori5301,OK
2021/04/25,21:28:34,111.102.188.225,h-takatou,NG
2021/04/25,21:28:50,111.102.188.225,sori5301,OK
2021/04/25,21:30:22,111.102.188.225,sori5301,OK
2021/04/25,21:31:14,111.102.188.225,sori5301,OK
2021/04/26,08:27:36,39.110.207.182,sori5301,OK
2021/04/26,15:26:31,39.110.207.182,sori5301,OK
2021/04/26,16:42:28,39.110.207.182,sori5301,OK
2021/04/26,17:44:57,39.110.207.182,sori5301,OK
2021/04/26,17:53:14,39.110.207.182,sori5301,OK
2021/04/26,19:29:38,39.110.207.182,sori5301,OK
2021/04/27,11:51:58,133.200.39.65,sori5301,OK
2021/04/27,15:53:44,39.110.207.182,sori5301,OK
2021/04/27,18:19:37,39.110.207.182,sori5301,OK
2021/04/28,08:05:25,39.110.207.182,sori5301,OK
2021/04/28,08:05:51,39.110.207.182,sori5301,OK
2021/04/28,19:34:31,39.110.207.182,sori5301,OK
