2023/11/10,11:23:10,192.168.90.22,,,,,NG
2023/11/10,11:23:11,192.168.3.211,,,,,NG
2023/11/10,11:23:19,192.168.3.211,,,,,NG
2023/11/10,11:23:19,192.168.3.211,,,,,NG
2023/11/10,11:23:19,192.168.3.211,,,,,NG
2023/11/15,17:09:39,192.168.8.40,,,,,NG
2023/11/15,17:09:39,192.168.3.211,,,,,NG
2023/11/15,17:09:44,192.168.3.211,,,,,NG
2023/11/15,17:09:44,192.168.3.211,,,,,NG
2023/11/15,17:09:44,192.168.3.211,,,,,NG
2023/11/16,08:42:17,192.168.3.211,,,,,NG
2023/11/16,08:42:24,192.168.3.211,,,,,NG
2023/11/16,08:42:25,192.168.3.211,,,,,NG
2023/11/16,08:42:25,192.168.3.211,,,,,NG
2023/11/16,08:53:32,192.168.3.211,,,,,NG
2023/11/16,10:05:15,192.168.3.211,,,,,NG
2023/11/16,11:18:19,192.168.8.40,,,,,NG
2023/11/16,11:18:19,192.168.3.211,,,,,NG
2023/11/16,11:18:43,192.168.8.40,,,,,NG
2023/11/16,11:18:50,192.168.8.40,,,,,NG
2023/11/16,11:19:49,192.168.8.40,,,,,NG
2023/11/16,11:20:23,192.168.8.40,,,,,NG
2023/11/16,11:20:56,192.168.8.40,,,,,NG
2023/11/16,11:21:10,192.168.8.40,,,,,NG
2023/11/16,11:23:21,192.168.8.40,,,,,NG
2023/11/16,11:23:33,192.168.8.40,,,,,NG
2023/11/16,11:23:48,192.168.8.40,,,,,NG
2023/11/16,11:24:54,192.168.8.40,,,,,NG
2023/11/16,11:25:01,192.168.8.40,,,,,NG
2023/11/16,11:25:05,192.168.8.40,,,,,NG
2023/11/16,11:25:21,192.168.8.40,,,,,NG
2023/11/16,11:26:25,192.168.8.40,,,,,NG
2023/11/16,11:26:31,192.168.8.40,,,,,NG
2023/11/16,11:27:27,192.168.8.40,,,,,NG
2023/11/16,11:27:44,192.168.8.40,,,,,NG
2023/11/16,11:27:52,192.168.8.40,,,,,NG
2023/11/16,11:29:34,192.168.8.40,,,,,NG
2023/11/16,11:29:41,192.168.8.40,,,,,NG
